ID_Empleado,Departamento,Manager_ID,Es_Jefe,Tipo_Contrato,Modalidad,Turno,Fecha_Ingreso,Fecha_Salida,Estado,Antiguedad_Meses,Edad,Genero,Nivel_Educativo,Categoria_Profesional,Seniority,Banda_Salarial,Puntuacion_Desempeno,Horas_Extra_Mensuales,Absentismo_Dias_Año,Training_Completado_Pct,Satisfaccion_Onboarding,Engagement_Score,Motivo_Salida
EMP-248,RADIOLOGIA,EMP-014,No,Guardia,Turno_Rotatorio,Mañana,03/05/2018,,Activo,85,51,Mujer,Grado_Enfermeria,Tecnico,Adjunto,Media,8.2,19,11,28,7.6,9.7,
EMP-109,Reproduccion Asistida,EMP-019,No,Interinidad,Presencial,Tarde,2023-07-15,,Activo,22,36,Femenino,Medicina,Tecnico,Junior,Baja,5.7,9,5,60,7.0,6.2,
EMP-288,RRHH,EMP-018,No,Indefinido,Presencial,Mañana,07/07/2018,22/01/2021,Baja,,62,hombre,Master,Administrativo,Senior,Baja,9.9,5,2,85,7.7,8.2,Jubilacion
EMP-250,Ginecologia y Obstetricia,EMP-014,No,Indefinido,Presencial,Noche,09/10/2020,,Activo,55,55,Mujer,Master,Enfermero,Junior,Media,8.4,30,10,83,9.8,5.4,
EMP-007,Reproduccion Asistida,,Si,Indefinido,PRESENCIAL,Mañana,04/09/2022,,Activo,32,35,Mujer,Medicina,Tecnico,Jefe_de_Servicio,Alta,5.3,10,8,73,NULL,4.5,
EMP-185,Administracion,EMP-003,No,Temporal,Presencial,Mañana,11/03/2022,26/09/2024,Baja,,41,Masculino,FP_Sanitario,Administrativo,Senior,Media,8.0,5,2,95,7.5,7.4,Voluntaria
EMP-047,Pediatria,EMP-018,No,Indefinido,PRESENCIAL,Rotatorio,07/07/2020,,Activo,58,17,mujer,Grado_Enfermeria,Enfermero,Adjunto,Baja,7.1,15,2,51,4.8,6.9,
EMP-199,Pediatria,EMP-012,No,Temporal,Turno_Rotatorio,Rotatorio,12/11/2023,,Activo,18,50,mujer,Medicina,Enfermero,Senior,Alta,7.5,3,13,55,8.8,5.6,
EMP-232,Radiologia,EMP-013,No,Indefinido,Presencial,Mañana,27/04/2019,,Activo,73,35,Mujer,FP_Sanitario,Tecnico,Adjunto,Media,5.4,19,11,51,9.3,6.6,
EMP-148,Reproduccion Asistida,EMP-017,No,Indefinido,Turno Rotatorio,Mañana,2021-09-01,27/08/2022,Baja,,50,Hombre,FP_Sanitario,Medico,Jefe_de_Servicio,Media,7.3,23,8,85,7.8,4.4,Voluntaria
